Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
1159,Sonic Heroes,GC,2003,Platform,Sega,1.05,0.44,0.06,0.04
1160,ESPN NBA 2K5,PS2,2004,Sports,Global Star,1.26,0.12,0,0.21
1161,Diablo,PC,1996,Role-Playing,Activision,0.01,1.58,0,0
1162,The Legend of Zelda: Twilight Princess,GC,2006,Action,Nintendo,1.15,0.36,0.04,0.04
1163,Soul Edge,PS,1996,Fighting,Sony Computer Entertainment,0.61,0.41,0.46,0.1
1164,Devil May Cry 4,PS3,2008,Action,Capcom,0.58,0.46,0.34,0.21
1165,Mario Bros.,2600,1982,Platform,Atari,1.48,0.09,0,0.02
1166,Pro Evolution Soccer 2008,PS3,2007,Sports,Konami Digital Entertainment,0.04,1.1,0.32,0.13
1167,SoulCalibur IV,X360,2008,Fighting,Ubisoft,0.92,0.44,0.07,0.15
1168,LEGO Harry Potter: Years 1-4,X360,2010,Action,Warner Bros. Interactive Entertainment,0.95,0.5,0,0.14
1169,NASCAR 2000,PS,1999,Racing,Electronic Arts,0.88,0.6,0,0.1
1170,Wolfenstein: The New Order,PS4,2014,Shooter,Bethesda Softworks,0.47,0.8,0.03,0.29
1171,Carnival Games: Mini Golf,Wii,2008,Sports,Take-Two Interactive,0.87,0.56,0,0.15
1172,Guitar Hero: On Tour Decades,DS,2008,Misc,Activision,0.85,0.58,0,0.16
1173,MySims Kingdom,DS,2008,Simulation,Electronic Arts,0.81,0.6,0.01,0.17
1174,Jampack Summer 2K,PS,2000,Misc,Sony Computer Entertainment,0.88,0.6,0,0.1
1175,Need for Speed: Most Wanted,X360,2012,Racing,Electronic Arts,0.62,0.8,0.01,0.15
1176,Guitar Hero 5,Wii,2009,Misc,Activision,0.94,0.49,0,0.15
1177,High School Musical 3: Senior Year,DS,2008,Misc,Disney Interactive Studios,0.64,0.76,0,0.17
1178,Kingdom Hearts 3D: Dream Drop Distance,3DS,2012,Action,Square Enix,0.88,0.26,0.34,0.09
1179,Hannah Montana: Music Jam,DS,2007,Action,Disney Interactive Studios,1.06,0.37,0,0.15
1180,Pokemon Mystery Dungeon: Explorers of Sky,DS,2009,Role-Playing,Nintendo,0.58,0.44,0.44,0.12
1181,Spyro 2: Season of Flame,GBA,2002,Platform,Vivendi Games,0.85,0.65,0,0.08
1182,Pro Evolution Soccer 2010,PS2,2009,Sports,Konami Digital Entertainment,0.1,0.18,0.12,1.16
1183,NCAA Football 2002,PS2,2001,Sports,Electronic Arts,0.77,0.6,0,0.2
1184,Conflict: Desert Storm,PS2,2002,Shooter,Gotham Games,0.98,0.53,0,0.06
1185,Mario Party 7,GC,2005,Misc,Nintendo,0.95,0.11,0.46,0.04
1186,Pro Evolution Soccer 2013,PS3,2012,Sports,Konami Digital Entertainment,0.18,0.64,0.49,0.25
1187,Smuggler's Run,PS2,2000,Racing,Take-Two Interactive,0.77,0.6,0,0.2
1188,Fight Night Round 3,PS2,2006,Fighting,Electronic Arts,1.07,0.4,0,0.1
1189,Donkey Kong Classics,NES,1988,Platform,Nintendo,0.59,0.14,0.81,0.02
1190,Twisted Metal,PS,1995,Action,Sony Computer Entertainment,1.32,0.19,0,0.05
1192,Final Fight,SNES,1990,Action,Capcom,0.67,0.17,0.69,0.03
1193,Dragon Quest Monsters 2,GB,2001,Role-Playing,Enix Corporation,0,0,1.56,0
1194,Pokemon Pinball: Ruby & Sapphire,GBA,2003,Misc,Nintendo,0.68,0.38,0.44,0.05
1195,LEGO Marvel Super Heroes,PS4,2013,Action,Warner Bros. Interactive Entertainment,0.59,0.75,0.01,0.21
1196,Mafia II,X360,2010,Action,Take-Two Interactive,0.84,0.56,0,0.15
1197,Dishonored,PS3,2012,Action,Bethesda Softworks,0.72,0.54,0.04,0.25
1198,Stuntman,PS2,2002,Racing,Atari,0.76,0.59,0,0.2
1199,Tom Clancy's Rainbow Six 3,XB,2003,Shooter,Ubisoft,0.91,0.57,0,0.07
1200,Active Life: Outdoor Challenge,Wii,2008,Sports,Atari,0.79,0.44,0.19,0.14
1201,BioShock 2,PS3,2010,Shooter,Take-Two Interactive,0.85,0.47,0.02,0.22
1202,007: The World is not Enough,N64,2000,Action,Electronic Arts,1.13,0.38,0.02,0.03
1203,Spider-Man 2: Enter: Electro,PS,2001,Action,Activision,0.57,0.87,0.02,0.09
1204,Watch Dogs,XOne,2014,Action,Ubisoft,0.9,0.53,0,0.13
1205,Star Wars: The Force Unleashed II,PS3,2010,Action,LucasArts,0.8,0.53,0,0.22
1206,Ni no Kuni: Wrath of the White Witch,PS3,2011,Role-Playing,Namco Bandai Games,0.6,0.51,0.21,0.23
1207,Command & Conquer: Tiberian Sun,PC,1999,Strategy,Westwood Studios,1.55,0,0,0
1208,LEGO Battles: Ninjago,DS,2011,Strategy,Warner Bros. Interactive Entertainment,1.07,0.36,0,0.12
1209,Mario Party 10,WiiU,2015,Misc,Nintendo,0.69,0.5,0.24,0.11
1210,Dead Rising 3,XOne,2013,Action,Microsoft Game Studios,1.06,0.35,0.01,0.12
1211,Resident Evil: The Umbrella Chronicles,Wii,2007,Action,Capcom,0.68,0.43,0.29,0.14
1212,Fire Emblem Fates,3DS,2015,Role-Playing,Nintendo,0.71,0.22,0.52,0.1
1213,Dark Cloud,PS2,2000,Role-Playing,Sony Computer Entertainment,0.83,0.44,0.08,0.19
1214,Warcraft III: The Frozen Throne,PC,2003,Strategy,Activision,0.58,0.87,0,0.09
1215,Tom Clancy's Ghost Recon Advanced Warfighter,X360,2006,Shooter,Ubisoft,1.4,0.02,0.02,0.1
1216,Disney Fairies: Tinker Bell,DS,2008,Adventure,Disney Interactive Studios,0.86,0.52,0.01,0.15
1217,MVP Baseball 2005,PS2,2005,Sports,Electronic Arts,1.26,0.07,0,0.21
1218,Die Hard Trilogy,PS,1996,Shooter,Fox Interactive,0.85,0.58,0,0.1
1219,Call of Duty: Black Ops II,PC,2012,Shooter,Activision,0.63,0.69,0,0.21
1220,Fight Night Round 4,PS3,2009,Fighting,Electronic Arts,0.92,0.41,0,0.21
1221,MySims Kingdom,Wii,2008,Simulation,Electronic Arts,0.71,0.65,0.01,0.17
1222,The Simpsons Game,DS,2007,Action,Electronic Arts,0.57,0.79,0,0.17
1223,Mortal Kombat 3,SNES,1994,Fighting,Acclaim Entertainment,1.19,0.29,0,0.05
1224,NFL GameDay 99,PS,1998,Sports,989 Studios,1.44,0.05,0,0.04
1225,Call of Duty: Modern Warfare: Reflex Edition,Wii,2009,Shooter,Activision,0.95,0.43,0,0.14
1227,Mario Golf: Toadstool Tour,GC,2003,Sports,Nintendo,1.09,0.15,0.25,0.04
1228,Tiger Woods 99 PGA Tour Golf,PS,1997,Sports,Electronic Arts,0.85,0.58,0,0.1
1229,Donkey Kong Country: Tropical Freeze,WiiU,2014,Platform,Nintendo,0.73,0.52,0.15,0.12
1230,Dead Space 2,X360,2011,Shooter,Electronic Arts,0.94,0.45,0,0.13
1231,Sonic Rivals 2,PSP,2007,Racing,Sega,0.44,0.69,0,0.39
1232,Knockout Kings,PS,1997,Fighting,Electronic Arts,1.07,0.39,0,0.06
1233,The Simpsons Skateboarding,PS2,2002,Sports,Electronic Arts,0.36,0.9,0,0.27
1234,NASCAR 98,PS,1996,Racing,Electronic Arts,1.43,0.05,0,0.04
1235,F1 Race,NES,1984,Racing,Nintendo,0,0,1.52,0
1236,Xevious,NES,1984,Shooter,Namco Bandai Games,0.18,0.06,1.27,0.01
1237,NASCAR 99,PS,1998,Racing,Electronic Arts,1.45,0.04,0,0.04
1238,NBA Live 2000,PS,1998,Sports,Electronic Arts,1.43,0.05,0,0.03
1239,Mafia II,PS3,2010,Action,Take-Two Interactive,0.5,0.72,0.04,0.26
1240,Call of Duty 3,PS3,2006,Shooter,Activision,0.6,0.63,0.03,0.26
1241,Super Monkey Ball 2,GC,2002,Puzzle,Atari,1.11,0.31,0.06,0.04
1242,Pac-Man World 2,PS2,2002,Action,Namco Bandai Games,1.26,0.05,0,0.21
1243,Madden NFL 15,XOne,2014,Sports,Electronic Arts,1.3,0.09,0,0.12
1244,Sonic & Sega All-Stars Racing,Wii,2010,Racing,Sega,0.65,0.71,0,0.15
1245,LEGO Star Wars III: The Clone Wars,X360,2011,Action,LucasArts,0.84,0.54,0,0.13
1246,Football Manager 2012,PC,2011,Sports,Sega,0.02,1.16,0,0.34
1247,Puzzle & Dragons,3DS,2013,Role-Playing,GungHo,0,0,1.51,0
1248,Mega Man 2,NES,1988,Action,Capcom,0.93,0.15,0.42,0.01
1249,Simpsons Wrestling,PS,2001,Fighting,Electronic Arts,0.23,1.16,0,0.11
1250,NBA Live 98,PS,1997,Sports,Electronic Arts,1.41,0.06,0,0.04
1251,The Simpsons Game,PS2,2007,Action,Electronic Arts,0.35,0.03,0,1.13
1252,Monopoly,PS,1997,Misc,Hasbro Interactive,1.18,0.27,0,0.05
1253,SoulCalibur II,GC,2003,Fighting,Namco Bandai Games,0.99,0.32,0.11,0.08
1254,Resistance 3,PS3,2011,Shooter,Sony Computer Entertainment,0.64,0.58,0.05,0.23
1255,Tokyo Xtreme Racer Zero,PS2,2000,Racing,Crave Entertainment,0.66,0.52,0.15,0.17
1256,Final Fantasy XIV: A Realm Reborn,PC,2010,Role-Playing,Square Enix,0.86,0.48,0,0.17
1257,NFL Blitz,PS,1998,Sports,Midway Games,1.41,0.05,0,0.04
1258,Red Faction II,PS2,2002,Shooter,THQ,0.49,0.78,0,0.23
1259,Super Scribblenauts,DS,2010,Puzzle,Warner Bros. Interactive Entertainment,1.08,0.31,0,0.11
1260,Madden NFL 2001,PS2,2000,Sports,Electronic Arts,1.19,0.07,0.05,0.2
1261,WWF No Mercy,N64,2000,Fighting,THQ,1.2,0.27,0.02,0.02
1262,Ice Climber,NES,1985,Platform,Nintendo,0.46,0.1,0.92,0.02
1263,Sonic CD,SCD,1993,Platform,Sega,1,0.36,0.09,0.05
1264,Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,1986,Platform,Hudson Soft,0,0,1.5,0
1265,Dead Rising 2,X360,2010,Action,Capcom,0.75,0.53,0.09,0.12
1266,Rock Band 2,PS3,2008,Misc,MTV Games,1.13,0.2,0,0.16
1267,Pac-Man World,PS,1998,Action,Namco Bandai Games,1.21,0.14,0.1,0.04
1268,Disney Sing It: Pop Hits,Wii,2009,Misc,Disney Interactive Studios,1.08,0.28,0,0.13
1269,Final Fantasy: Crystal Chronicles,GC,2003,Role-Playing,Nintendo,0.72,0.38,0.36,0.04
1270,Medal of Honor: Frontline,XB,2002,Shooter,Electronic Arts,1,0.43,0,0.06
1271,Madden NFL 09,PS2,2008,Sports,Electronic Arts,1.22,0,0,0.27
1272,Drawn To Life: SpongeBob SquarePants Edition,DS,2008,Adventure,THQ,1,0.36,0,0.13
1273,Banjo-Tooie,N64,2000,Platform,Nintendo,0.82,0.36,0.25,0.06
1274,Buzz! The BIG Quiz,PS2,2006,Misc,Sony Computer Entertainment,0,1.1,0,0.39
1275,007: Quantum of Solace,X360,2008,Action,Activision,0.82,0.52,0.01,0.14
1276,The Sims 3,Wii,2010,Simulation,Electronic Arts,0.61,0.73,0,0.15
1277,New Play Control! Mario Power Tennis,Wii,2009,Sports,Nintendo,0.37,0.69,0.28,0.14
1278,Bratz: Forever Diamondz,DS,2006,Adventure,THQ,0.43,0.88,0,0.18
1279,Dirge of Cerberus: Final Fantasy VII,PS2,2006,Shooter,Square Enix,0.47,0.37,0.52,0.12
1280,Nintendo World Cup,NES,1990,Sports,Nintendo,0.28,0.5,0.65,0.05
1281,WWF WrestleMania 2000,N64,1999,Fighting,THQ,1.2,0.25,0.02,0.02
1282,Wario Land II,GB,1997,Platform,Nintendo,0.7,0.35,0.39,0.04
1283,Mass Effect 2,PS3,2011,Role-Playing,Electronic Arts,0.78,0.47,0.03,0.2
1284,Major League Baseball 2K5,PS2,2005,Sports,Take-Two Interactive,0.72,0.56,0,0.19
1285,Fight Night 2004,PS2,2004,Fighting,Electronic Arts,1.08,0.2,0,0.2
1286,Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,2004,Action,Ubisoft,0.82,0.59,0,0.07
1287,Imagine: Master Chef,DS,2007,Simulation,Ubisoft,0.39,0.92,0,0.17
1288,Assassin's Creed III: Liberation,PSV,2012,Action,Ubisoft,0.58,0.55,0.06,0.28
1289,SoulCalibur IV,PS3,2008,Fighting,Ubisoft,0.72,0.41,0.14,0.2
1290,Mario Golf,N64,1999,Action,Nintendo,0.62,0.18,0.65,0.02
1291,Disney Princess,GBA,2003,Platform,THQ,1.04,0.37,0,0.06
1292,Fight Night Round 3,X360,2006,Fighting,Electronic Arts,1.33,0.03,0.01,0.1
1293,Metal Gear Rising: Revengeance,PS3,2013,Action,Konami Digital Entertainment,0.45,0.4,0.44,0.18
1294,Chrono Trigger,DS,2008,Role-Playing,Square Enix,0.69,0.2,0.49,0.09
1295,Star Wars: The Force Unleashed II,X360,2010,Action,LucasArts,0.95,0.4,0,0.12
1296,The House of the Dead 2 & 3 Return,Wii,2008,Shooter,Sega,0.78,0.5,0.03,0.15
1297,Disney Princess: Magical Jewels,DS,2007,Adventure,Disney Interactive Studios,1.15,0.2,0,0.12
1298,LittleBigPlanet PS Vita,PSV,2012,Platform,Sony Computer Entertainment,0.4,0.72,0.02,0.33
1299,Xenogears,PS,1998,Role-Playing,SquareSoft,0.29,0.19,0.89,0.1
1300,The SpongeBob SquarePants Movie,GBA,2004,Platform,THQ,1.02,0.38,0,0.06
1301,Tom Clancy's Ghost Recon: Future Soldier,X360,2012,Shooter,Ubisoft,0.93,0.4,0.02,0.12
1302,Battlefield: Bad Company,X360,2008,Shooter,Electronic Arts,0.81,0.46,0.04,0.15
1303,Midway Arcade Treasures,PS2,2003,Misc,Midway Games,0.72,0.56,0,0.19
1304,Wall-E,DS,2008,Platform,THQ,0.46,0.83,0,0.17
1306,Homefront,X360,2011,Shooter,THQ,0.83,0.48,0.02,0.12
1307,Super Monkey Ball,GC,2001,Puzzle,Atari,0.95,0.37,0.1,0.04
1308,Donkey Kong,2600,1981,Platform,Coleco,1.36,0.08,0,0.02
1309,Mortal Kombat 4,PS,1998,Fighting,GT Interactive,0.81,0.55,0,0.1
1310,Mario Superstar Baseball,GC,2005,Sports,Nintendo,0.93,0.24,0.25,0.04
1311,Mass Effect 3,PS3,2012,Role-Playing,Electronic Arts,0.63,0.59,0.03,0.21
1312,LEGO Batman 2: DC Super Heroes,Wii,2012,Action,Warner Bros. Interactive Entertainment,0.94,0.4,0,0.11
1313,Medal of Honor: Warfighter,PS3,2012,Action,Electronic Arts,0.47,0.65,0.06,0.28
1314,WCW vs the World,PS,1998,Fighting,THQ,1.17,0.2,0.04,0.05
1315,SNK vs. Capcom: The Match of the Millennium,PSP,2006,Fighting,Sega,0.53,0.58,0,0.35
1316,LEGO City Undercover,3DS,2013,Platform,Nintendo,0.51,0.75,0.07,0.12
1317,Onimusha 3: Demon Siege,PS2,2004,Action,Capcom,0.37,0.47,0.54,0.07
1318,Diablo III,X360,2013,Role-Playing,Activision,0.89,0.44,0,0.12
1319,Batman: Arkham Knight,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.86,0.46,0,0.13
1320,BioShock,PS3,2008,Shooter,Take-Two Interactive,0.75,0.49,0.01,0.21
1321,Red Dead Revolver,PS2,2004,Shooter,Take-Two Interactive,0.71,0.55,0,0.19
1322,Anno 2070,PC,2011,Strategy,Ubisoft,0,1.13,0,0.32
1323,Resident Evil: Outbreak,PS2,2003,Action,Capcom,0.54,0.35,0.46,0.1
1324,Smarty Pants,Wii,2007,Misc,Electronic Arts,0.53,0.76,0,0.16
1325,Tamagotchi,GB,1996,Simulation,Namco Bandai Games,0,0,1.44,0.01
1326,4 Nin uchi Mahjong,NES,1984,Misc,Nintendo,0,0,1.45,0
1327,Dragon Ball Z,SNES,1993,Fighting,Namco Bandai Games,0,0,1.45,0
1328,Game de Hakken!! Tamagotchi 2,GB,1997,Simulation,Namco Bandai Games,0,0,1.44,0.01
1329,Namco Museum 64,N64,1999,Misc,Namco Bandai Games,1.24,0.17,0.03,0.01
1330,Hasbro Family Game Night,Wii,2008,Puzzle,Electronic Arts,0.97,0.34,0,0.13
1331,Dragon Quest Monsters: Joker 2,DS,2010,Role-Playing,Square Enix,0.11,0.08,1.24,0.02
1332,Tony Hawk's American Wasteland (Weekly american sales),PS2,2005,Sports,Activision,1.38,0.05,0,0.02
1333,My Word Coach,DS,2007,Misc,Ubisoft,0.37,0.9,0,0.18
1334,Hello Kitty Party,DS,2007,Misc,Rising Star Games,0.79,0.53,0,0.13
1335,SingStar Pop,PS2,2007,Misc,Sony Computer Entertainment,0.04,1.08,0,0.32
1336,Sonic Rivals,PSP,2006,Racing,Sega,0.73,0.42,0,0.28
1337,SimCity (2013),PC,2013,Simulation,Electronic Arts,0.48,0.77,0,0.19
1338,Kirby Super Star,SNES,1996,Platform,Nintendo,0.26,0.07,1.09,0.02
1339,Far Cry 4,PS3,2014,Shooter,Ubisoft,0.33,0.79,0.08,0.23
1340,WWE SmackDown vs Raw 2008,X360,2007,Fighting,THQ,0.92,0.38,0,0.13
1341,Kinect Joy Ride,X360,2010,Racing,Microsoft Game Studios,0.92,0.4,0,0.12
1342,Rayman Raving Rabbids,Wii,2006,Misc,Ubisoft,1.23,0.07,0.02,0.11
1343,Need for Speed Rivals,PS3,2013,Racing,Electronic Arts,0.33,0.74,0.05,0.31
1344,Tiger Woods PGA Tour 2005,PS2,2004,Sports,Electronic Arts,1.03,0.32,0,0.09
1345,Dead Space 2,PS3,2011,Shooter,Electronic Arts,0.73,0.5,0,0.21
1346,NCAA Football 2003,PS2,2002,Sports,Electronic Arts,1.16,0.08,0,0.19
1347,Frogger 2: Swampy's Revenge,PS,1999,Action,Hasbro Interactive,0.8,0.54,0,0.09
1348,Disney Infinity,X360,2013,Action,Disney Interactive Studios,0.96,0.37,0,0.11
1349,LEGO Indiana Jones 2: The Adventure Continues,Wii,2009,Action,Activision,0.91,0.39,0,0.13
1350,Sonic's Ultimate Genesis Collection,X360,2009,Misc,Sega,0.85,0.46,0,0.13
1351,Tiger Woods PGA Tour 09 All-Play,Wii,2008,Sports,Electronic Arts,0.81,0.48,0,0.14
1352,Disney's DuckTales,GB,1988,Platform,Capcom,0.82,0.23,0.35,0.03
1353,Classic NES Series: Super Mario Bros.,GBA,2004,Platform,Nintendo,0,0,1.39,0.03
1354,Triple Play 2000,PS,1999,Sports,Electronic Arts,0.79,0.54,0,0.09
1355,Dragon Quest VII: Warriors of Eden,3DS,2013,Role-Playing,Square Enix,0.07,0.04,1.3,0.01
1356,Cabela's Big Game Hunter,PS2,2002,Sports,Activision,0.7,0.54,0,0.18
1357,UFC Undisputed 2010,PS3,2010,Fighting,THQ,0.8,0.41,0.02,0.19
1358,NBA Live 06 (Weekly american sales),PS2,2005,Sports,Electronic Arts,1.35,0.05,0,0.02
1359,The Legend of Zelda: The Minish Cap,GBA,2004,Action,Nintendo,0.89,0.22,0.22,0.1
1360,NFL Street,PS2,2004,Sports,Electronic Arts,1.15,0.08,0,0.19
1361,Sonic Generations,X360,2011,Platform,Sega,0.71,0.57,0,0.14
1362,Super Metroid,SNES,1994,Action,Nintendo,0.57,0.12,0.71,0.02
1363,Pro Yakyuu Family Stadium '87,NES,1987,Sports,Namco Bandai Games,0.12,0,1.3,0
1364,Dead Space,X360,2008,Action,Electronic Arts,0.89,0.4,0,0.13
1365,Resident Evil (Remake),GC,2002,Action,Capcom,0.63,0.38,0.35,0.05
1366,Inazuma Eleven 2,DS,2009,Role-Playing,Nintendo,0,0.21,1.18,0.03
1367,Tomb Raider (2013),PS4,2014,Action,Square Enix,0.47,0.64,0.06,0.25
1368,LEGO Star Wars II: The Original Trilogy,PSP,2006,Action,LucasArts,0.58,0.51,0,0.32
1369,Toy Story 3: The Video Game,Wii,2010,Action,Disney Interactive Studios,0.64,0.63,0,0.14
1370,Fight Night Round 4,X360,2009,Fighting,Electronic Arts,0.95,0.34,0,0.13
1371,LEGO Star Wars: The Video Game,GC,2005,Action,Eidos Interactive,1.09,0.28,0,0.04
1372,Injustice: Gods Among Us,X360,2013,Fighting,Warner Bros. Interactive Entertainment,0.97,0.34,0,0.11
1373,Madden NFL 15,PS3,2014,Sports,Electronic Arts,1.07,0.15,0,0.19
1374,Disney's The Lion King,GEN,1994,Platform,Virgin Interactive,0.97,0.37,0.03,0.05
1375,Ridge Racer,PSP,2004,Racing,Sony Computer Entertainment,0.36,0.45,0.32,0.28
1376,Metroid: Other M,Wii,2010,Action,Nintendo,0.87,0.31,0.13,0.1
1377,Knockout Kings 2000,PS,1999,Fighting,Electronic Arts,1.02,0.34,0,0.05
1378,Gran Turismo 4 Prologue,PS2,2003,Racing,Sony Computer Entertainment,0,0.47,0.77,0.17
1379,Twisted Metal: Black,PS2,2001,Racing,Sony Computer Entertainment,1.19,0.17,0,0.05
1380,NASCAR 2005: Chase for the Cup,PS2,2004,Racing,Electronic Arts,0.69,0.54,0,0.18
1381,Call of Duty: Black Ops,Wii,2010,Shooter,Activision,0.82,0.47,0,0.12
1382,Spider-Man: The Movie,XB,2002,Action,Activision,1.07,0.28,0,0.05
1383,Need For Speed: Undercover,PS2,2008,Racing,Electronic Arts,0.38,0.08,0.03,0.93
1384,2Xtreme,PS,1996,Sports,Sony Computer Entertainment,1.15,0.2,0,0.05
1385,Far Cry 2,PS3,2008,Action,Ubisoft,0.43,0.7,0.01,0.27
1386,Sonic Advance 3,GBA,2004,Platform,THQ,0.74,0.52,0.08,0.06
1387,Final Fantasy III,NES,1990,Role-Playing,SquareSoft,0,0,1.39,0.01
1388,Battlefield 4,PC,2013,Shooter,Electronic Arts,0.38,0.86,0,0.16
1389,Colin McRae Rally 3,PS2,2002,Racing,Codemasters,0.03,1.05,0.02,0.3
1390,Madden NFL 2002,PS,2001,Sports,Electronic Arts,0.78,0.53,0,0.09
1392,Final Fantasy XII: Revenant Wings,DS,2007,Role-Playing,Square Enix,0.34,0.42,0.54,0.1
1393,Bakugan: Battle Brawlers,DS,2009,Action,Activision,1.27,0.02,0,0.09
1394,Deus Ex: Human Revolution,PS3,2011,Shooter,Square Enix,0.5,0.6,0.07,0.23
1395,NBA Jam,SNES,1994,Sports,Acclaim Entertainment,1.19,0.16,0,0.03
1396,Teenage Mutant Ninja Turtles III: The Manhattan Project,NES,1991,Action,Konami Digital Entertainment,1.05,0.17,0.15,0.02
1397,Dynasty Warriors 5,PS2,2005,Action,Tecmo Koei,0.24,0.18,0.91,0.06
1398,Hannah Montana: Spotlight World Tour,Wii,2007,Action,Disney Interactive Studios,0.87,0.38,0,0.13
1399,WWE '13,PS3,2012,Action,THQ,0.51,0.62,0,0.26
1400,Deus Ex: Human Revolution,X360,2011,Shooter,Square Enix,0.76,0.48,0.02,0.12
1401,True Crime: Streets of LA,XB,2003,Action,Activision,0.96,0.37,0,0.05
1402,The Sims 2,PSP,2005,Simulation,Electronic Arts,0.49,0.56,0,0.33
1403,Paper Mario,N64,2000,Role-Playing,Nintendo,0.58,0.18,0.59,0.02
1404,Bravely Default: Flying Fairy,3DS,2012,Role-Playing,Nintendo,0.5,0.32,0.49,0.07
1405,Titanfall,X360,2014,Shooter,Electronic Arts,0.87,0.38,0.02,0.11
1406,Duke Nukem: Time to Kill,PS,1998,Shooter,Take-Two Interactive,0.77,0.54,0,0.07
1407,Persona 4: Golden,PSV,2012,Role-Playing,Atlus,0.46,0.34,0.38,0.21
1408,Dead Rising 2,PS3,2010,Action,Capcom,0.43,0.57,0.15,0.22
1409,Hasbro Family Game Night 2,Wii,2009,Misc,Electronic Arts,0.71,0.53,0,0.13
1410,Disney Princess: Enchanted Journey,Wii,2007,Adventure,Disney Interactive Studios,1.24,0.04,0,0.09
1411,Gardening Mama,DS,2009,Puzzle,505 Games,0.8,0.43,0.01,0.13
1412,Dave Mirra Freestyle BMX 2,PS2,2001,Sports,Acclaim Entertainment,0.67,0.53,0,0.18
1413,Need for Speed: The Run,X360,2011,Action,Electronic Arts,0.63,0.58,0,0.15
1414,LEGO Indiana Jones: The Original Adventures,PS2,2008,Action,LucasArts,0.6,0.01,0,0.76
1415,Assassin's Creed: Rogue,PS3,2014,Action,Ubisoft,0.46,0.62,0.06,0.23
1416,Ridge Racer 7,PS3,2006,Racing,Namco Bandai Games,0.24,0.7,0.16,0.26
1417,A Collection of Activision Classic Games for the Atari 2600,PS,1998,Misc,Activision,0.76,0.52,0,0.09
1418,Forza Horizon 2,XOne,2014,Racing,Microsoft Game Studios,0.5,0.78,0.01,0.09
1419,MotorStorm: Pacific Rift,PS3,2008,Racing,Sony Computer Entertainment,0.43,0.67,0.02,0.26
1420,Sonic Colors,DS,2010,Platform,Sega,0.74,0.5,0.01,0.13
1421,Star Wars Knights of the Old Republic II: The Sith Lords,XB,2004,Role-Playing,Activision,0.99,0.33,0,0.05
1422,LEGO Harry Potter: Years 1-4,PS3,2010,Action,Warner Bros. Interactive Entertainment,0.55,0.6,0,0.22
1423,Pocket Monsters Stadium,N64,1998,Strategy,Nintendo,0,0,1.37,0
1424,NBA 2K15,PS3,2014,Sports,Take-Two Interactive,0.86,0.27,0.02,0.22
1425,Tom Clancy's Ghost Recon 2,XB,2004,Shooter,Ubisoft,0.86,0.45,0,0.06
1426,Crash Bandicoot 2: N-Tranced,GBA,2003,Platform,Vivendi Games,0.63,0.66,0,0.07
1427,Burnout Paradise,X360,2008,Racing,Electronic Arts,0.63,0.58,0.01,0.15
1428,SingStar Abba,PS2,2008,Misc,Sony Computer Entertainment,0.23,0.04,0,1.09
1429,Gradius,NES,1986,Shooter,Konami Digital Entertainment,0.27,0.08,1,0.01
1430,Dragon Quest III: Soshite Densetsu e...,SNES,1996,Role-Playing,Enix Corporation,0,0,1.36,0
1431,Centipede,2600,1981,Shooter,Atari,1.26,0.08,0,0.01
1432,Yoshi's New Island,3DS,2014,Platform,Nintendo,0.47,0.51,0.28,0.09
1433,Ryse: Son of Rome,XOne,2013,Action,Microsoft Game Studios,0.82,0.42,0,0.11
1434,Dead to Rights,PS2,2002,Shooter,Electronic Arts,0.67,0.52,0,0.17
1436,Marvel vs. Capcom 3: Fate of Two Worlds,PS3,2011,Fighting,Capcom,0.81,0.29,0.11,0.14
1437,Dance Dance Revolution (Japan),PS,1999,Simulation,Konami Digital Entertainment,0,0,1.26,0.09
1438,F1 2010,PS3,2010,Racing,Codemasters,0.25,0.76,0.08,0.27
1439,Madden NFL 98,PS,1997,Sports,Electronic Arts,1.29,0.03,0,0.03
1440,FIFA Soccer 09,PSP,2008,Sports,Electronic Arts,0.23,0.73,0.02,0.37
1441,Namco Museum DS,DS,2007,Misc,Atari,1.18,0.01,0.06,0.09
1442,FIFA Soccer 08,PSP,2007,Sports,Electronic Arts,0.2,0.76,0,0.39
1443,Grand Theft Auto: Chinatown Wars,DS,2009,Action,Take-Two Interactive,0.59,0.57,0.05,0.14
1444,Alan Wake,X360,2010,Action,Microsoft Game Studios,0.66,0.51,0.05,0.13
1445,Battlefield: Bad Company,PS3,2008,Shooter,Electronic Arts,0.76,0.36,0.05,0.18
1446,Mortal Kombat X,XOne,2015,Fighting,Warner Bros. Interactive Entertainment,1,0.21,0,0.13
1447,Samurai Warriors,PS2,2004,Action,Electronic Arts,0.22,0.05,1.06,0.02
1448,The Simpsons: Hit & Run,XB,2003,Racing,Vivendi Games,0.7,0.58,0,0.07
1449,Devil May Cry 4,X360,2008,Action,Capcom,0.79,0.34,0.08,0.13
1450,Tom Clancy's Rainbow Six: Vegas 2,PS3,2008,Shooter,Ubisoft,0.66,0.45,0.04,0.21
1451,Monster Hunter Freedom,PSP,2005,Role-Playing,Capcom,0.24,0.04,1.03,0.04
